TS_Pcode,Township,Township_Mya_MM3,D_Pcode,District,District_Mya_MM3,SR_Pcode,State_Region,State_Region_Mya_MM3,MYAINFO_TS_ID,Source,Remark
MMR010030,Thazi,သာစည်,MMR010D007,Meiktila,မိတ္ထီလာခရိုင်,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ASIMMR010030,"GAD, Mar 2015",
MMR010031,Wundwin,ဝမ်းတွင်း,MMR010D007,Meiktila,မိတ္ထီလာခရိုင်,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ASIMMR010031,"GAD, Mar 2015",
MMR010023,Yamethin,ရမည်းသင်း,MMR010D006,Yamethin,ရမည်းသင်းခရိုင်,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ASIMMR010023,"GAD, Mar 2015",
MMR011010,Bilin,ဘီးလင်း,MMR011D002,Thaton,သထုံခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011010,"GAD, Mar 2015",
MMR011003,Chaungzon,ချောင်းဆုံ,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011003,"GAD, Mar 2015",
MMR011002,Kyaikmaraw,ကျိုက္မရော,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011002,"GAD, Mar 2015",
MMR011009,Kyaikto,ကျိုက်ထို,MMR011D002,Thaton,သထုံခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011009,"GAD, Mar 2015",
MMR011001,Mawlamyine,မော်လမြိုင်,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011001,"GAD, Mar 2015",
MMR011005,Mudon,မုဒုံ,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011005,"GAD, Mar 2015",
MMR011008,Paung,ပေါင်,MMR011D002,Thaton,သထုံခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011008,"GAD, Mar 2015",
MMR011004,Thanbyuzayat,သံဖြူဇရပ်,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011004,"GAD, Mar 2015",
MMR011007,Thaton,သထုံ,MMR011D002,Thaton,သထုံခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011007,"GAD, Mar 2015",
MMR011006,Ye,ရေး,MMR011D001,Mawlamyine,မော်လမြိုင်ခရိုင်,MMR011,Mon,မွန်ပြည်နယ်,ASIMMR011006,"GAD, Mar 2015",
MMR018004,Det Khi Na Thi Ri,ဒက္ခိဏသီရိ,MMR018D002,Det Khi Na,ဒက္ခိဏခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010037,"GAD, Mar 2015",
MMR018007,Lewe,လယ်ဝေး,MMR018D002,Det Khi Na,ဒက္ခိဏခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010027,"GAD, Mar 2015",
MMR018008,Oke Ta Ra Thi Ri,ဥတ္တရသီရိ,MMR018D001,Oke Ta Ra,ဥတ္တရခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010035,"GAD, Mar 2015",
MMR018005,Poke Ba Thi Ri,ပုဗ္ဗသီရိ,MMR018D001,Oke Ta Ra,ဥတ္တရခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010034,"GAD, Mar 2015",
MMR018006,Pyinmana,ပျဉ်းမနား,MMR018D002,Det Khi Na,ဒက္ခိဏခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010026,"GAD, Mar 2015",
MMR018003,Tatkon,တပ်ကုန်း,MMR018D001,Oke Ta Ra,ဥတ္တရခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010025,"GAD, Mar 2015",
MMR018002,Za Bu Thi Ri,ဇမ္ဗူသီရိ,MMR018D002,Det Khi Na,ဒက္ခိဏခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010036,"GAD, Mar 2015",
MMR018001,Zay Yar Thi Ri,ဇေယျာသီရိ,MMR018D001,Oke Ta Ra,ဥတ္တရခရိုင်,MMR018,Nay Pyi Taw,နေပြည်တော်,ASIMMR010033,"GAD, Mar 2015",
MMR012014,Ann,အမ်း,MMR012D003,Kyaukpyu,ကျောက်ဖြူခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012014,"GAD, Mar 2015",
MMR012010,Buthidaung,ဘူးသီးတောင်,MMR012D002,Maungdaw,မောင်တောခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012010,"GAD, Mar 2015",
MMR012017,Gwa,ဂွ,MMR012D004,Thandwe,သံတွဲခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012017,"GAD, Mar 2015",
MMR012011,Kyaukpyu,ကျောက်ဖြူ,MMR012D003,Kyaukpyu,ကျောက်ဖြူခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012011,"GAD, Mar 2015",
MMR012004,Kyauktaw,ကျောက်တော်,MMR012D005,Mrauk-U,မြောက်ဦးခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012004,"GAD, Mar 2015",
MMR012009,Maungdaw,မောင်တော,MMR012D002,Maungdaw,မောင်တောခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012009,"GAD, Mar 2015",
MMR012005,Minbya,မင်းပြား,MMR012D005,Mrauk-U,မြောက်ဦးခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012005,"GAD, Mar 2015",
MMR012003,Mrauk-U,မြောက်ဦး,MMR012D005,Mrauk-U,မြောက်ဦးခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012003,"GAD, Mar 2015",
MMR012012,Munaung,မာန်အောင်,MMR012D003,Kyaukpyu,ကျောက်ဖြူခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012012,"GAD, Mar 2015",
MMR012006,Myebon,မြေပုံ,MMR012D005,Mrauk-U,မြောက်ဦးခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012006,"GAD, Mar 2015",
MMR012007,Pauktaw,ပေါက်တော,MMR012D001,Sittwe,စစ်တွေခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012007,"GAD, Mar 2015",
MMR012002,Ponnagyun,ပုဏ္ဏားကျွန်း,MMR012D001,Sittwe,စစ်တွေခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012002,"GAD, Mar 2015",
MMR012013,Ramree,ရမ်းဗြဲ,MMR012D003,Kyaukpyu,ကျောက်ဖြူခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012013,"GAD, Mar 2015",
MMR012008,Rathedaung,ရသေ့တောင်,MMR012D001,Sittwe,စစ်တွေခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012008,"GAD, Mar 2015",
MMR012001,Sittwe,စစ်တွေ,MMR012D001,Sittwe,စစ်တွေခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012001,"GAD, Mar 2015",
MMR012015,Thandwe,သံတွဲ,MMR012D004,Thandwe,သံတွဲခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012015,"GAD, Mar 2015",
MMR012016,Toungup,တောင်ကုတ်,MMR012D004,Thandwe,သံတွဲခရိုင်,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ASIMMR012016,"GAD, Mar 2015",
MMR005014,Ayadaw,အရာတော်,MMR005D003,Monywa,မုံရွာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005014,"GAD, Mar 2015",
MMR005023,Banmauk,ဗန်းမောက်,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005023,"GAD, Mar 2015",
MMR005013,Budalin,ဘုတလင်,MMR005D003,Monywa,မုံရွာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005013,"GAD, Mar 2015",
MMR005015,Chaung-U,ချောင်းဦး,MMR005D003,Monywa,မုံရွာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005015,"GAD, Mar 2015",
MMR005033,Hkamti,ခန္တီး,MMR005D008,Hkamti,ခန္တီးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005033,"GAD, Mar 2015",
MMR005034,Homalin,ဟုမ္မလင်း,MMR005D008,Hkamti,ခန္တီးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005034,"GAD, Mar 2015",
MMR005021,Indaw,အင်းတော်,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005021,"GAD, Mar 2015",
MMR005027,Kale,ကလေး,MMR005D005,Kale,ကလေးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005027,"GAD, Mar 2015",
MMR005028,Kalewa,ကလေးဝ,MMR005D005,Kale,ကလေးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005028,"GAD, Mar 2015",
MMR005007,Kanbalu,ကန့်ဘလူ,MMR005D010,Kanbalu,ကန့်ဘလူခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005007,"GAD, Mar 2015",
MMR005017,Kani,ကနီ,MMR005D009,Yinmarbin,ယင်းမာပင်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005017,"GAD, Mar 2015",
MMR005020,Katha,ကသာ,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005020,"GAD, Mar 2015",
MMR005024,Kawlin,ကောလင်း,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005024,"GAD, Mar 2015",
MMR005005,Khin-U,ခင်ဦး,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005005,"GAD, Mar 2015",
MMR005008,Kyunhla,ကျွန်းလှ,MMR005D010,Kanbalu,ကန့်ဘလူခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005008,"GAD, Mar 2015",
MMR005036,Lahe,လဟယ်,MMR005D008,Hkamti,ခန္တီးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005036,"GAD, Mar 2015",
MMR005035,Lay Shi,လေရှီး,MMR005D008,Hkamti,ခန္တီးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005035,"GAD, Mar 2015",
MMR005031,Mawlaik,မော်လိုက်,MMR005D007,Mawlaik,မော်လိုက်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005031,"GAD, Mar 2015",
MMR005029,Mingin,မင်းကင်း,MMR005D005,Kale,ကလေးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005029,"GAD, Mar 2015",
MMR005012,Monywa,မုံရွာ,MMR005D003,Monywa,မုံရွာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005012,"GAD, Mar 2015",
MMR005003,Myaung,မြောင်,MMR005D001,Sagaing,စစ်ကိုင်းခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005003,"GAD, Mar 2015",
MMR005002,Myinmu,မြင်းမူ,MMR005D001,Sagaing,စစ်ကိုင်းခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005002,"GAD, Mar 2015",
MMR005037,Nanyun,နန်းယွန်း,MMR005D008,Hkamti,ခန္တီးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005037,"GAD, Mar 2015",
MMR005019,Pale,ပုလဲ,MMR005D009,Yinmarbin,ယင်းမာပင်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005019,"GAD, Mar 2015",
MMR005032,Paungbyin,ဖေါင်းပြင်,MMR005D007,Mawlaik,မော်လိုက်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005032,"GAD, Mar 2015",
MMR005026,Pinlebu,ပင်လည်ဘူး,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005026,"GAD, Mar 2015",
MMR005001,Sagaing,စစ်ကိုင်း,MMR005D001,Sagaing,စစ်ကိုင်းခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005001,"GAD, Mar 2015",
MMR005018,Salingyi,ဆားလင်းကြီး,MMR005D009,Yinmarbin,ယင်းမာပင်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005018,"GAD, Mar 2015",
MMR005004,Shwebo,ရွှေဘို,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005004,"GAD, Mar 2015",
MMR005010,Tabayin,ဒီပဲယင်း,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005010,"GAD, Mar 2015",
MMR005030,Tamu,တမူး,MMR005D006,Tamu,တမူးခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005030,"GAD, Mar 2015",
MMR005011,Taze,တန့်ဆည်,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005011,"GAD, Mar 2015",
MMR005022,Tigyaing,ထီးချိုင့်,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005022,"GAD, Mar 2015",
MMR005006,Wetlet,ဝက်လက်,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005006,"GAD, Mar 2015",
MMR005025,Wuntho,ဝန်းသို,MMR005D004,Katha,ကသာခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005025,"GAD, Mar 2015",
MMR005009,Ye-U,ရေဦး,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005009,"GAD, Mar 2015",
MMR005016,Yinmarbin,ယင်းမာပင်,MMR005D009,Yinmarbin,ယင်းမာပင်ခရိုင်,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ASIMMR005016,"GAD, Mar 2015",
MMR016320,Ho Tawng (Ho Tao),ဟိုတောင်း,MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016320,UNODC_Sep 2009,
MMR016001,Kengtung,ကျိုင်းတုံ,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016001,"GAD, Mar 2015",
MMR016319,Mong Hpen,မိုင်းဖျန်,MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016319,UNODC_Sep 2009,
MMR016322,Mong Kar,မိုင်းကာ,MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016322,UNODC_Sep 2009,
MMR016321,Mong Pawk,မိုင်းပေါက်,MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016321,UNODC_Sep 2009,
MMR016010,Monghpyak,မိုင်းဖြတ်,MMR016D003,Tachileik,တာချီလိတ်ခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016010,"GAD, Mar 2015",
MMR016006,Monghsat,မိုင်းဆတ်,MMR016D002,Monghsat,မိုင်းဆတ်ခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016006,"GAD, Mar 2015",
MMR016002,Mongkhet,မိုင်းခတ်,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016002,"GAD, Mar 2015",
MMR016005,Mongla,မိုင်းလား,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016005,"GAD, Mar 2015",
MMR016007,Mongping,မိုင်းပျင်း,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016007,"GAD, Mar 2015",
MMR016008,Mongton,မိုင်းတုံ,MMR016D002,Monghsat,မိုင်းဆတ်ခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016008,"GAD, Mar 2015",
MMR016003,Mongyang,မိုင်းယန်း,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016003,"GAD, Mar 2015",
MMR016011,Mongyawng,မိုင်းယောင်း,MMR016D003,Tachileik,တာချီလိတ်ခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016011,"GAD, Mar 2015",
MMR016323,Nam Hpai,နမ့်ဖိုင်,MMR016D333,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016323,UNODC_Sep 2009,
MMR016009,Tachileik,တာချီလိတ်,MMR016D003,Tachileik,တာချီလိတ်ခရိုင်,MMR016,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),ASIMMR016009,"GAD, Mar 2015",
MMR015311,Aik Chan (Ai' Chun),အိုက်ချန်,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015311,UNODC_Sep 2009,
MMR015203,Chinshwehaw Sub-township (Kokang SAZ),ချင်းရွှေဟော်မြို့နယ်ခွဲ (အထူးဒေသ ၁),MMR015D221,Laukkaing (Kokang SAZ),လောက်ကိုင်-ကိုးကန့်အထူးဒေသ (၁),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015203,UNODC_Sep 2009,
MMR015306,Hkun Mar (Hkwin Ma),ခွန်းမား,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015306,UNODC_Sep 2009,
MMR015021,Hopang,ဟိုပန်,MMR015D006,Hopang,ဟိုပန်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015021,"GAD, Mar 2015",
MMR015305,Hsawng Hpa (Saun Pha),ဆောင်ဖ,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015305,UNODC_Sep 2009,
MMR015002,Hseni,သိန်းနီ,MMR015D001,Lashio,လားရှိုးခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015002,"GAD, Mar 2015",
MMR015014,Hsipaw,သီပေါ,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015014,"GAD, Mar 2015",
MMR015310,Ka Lawng Hpar,ကလောင်ဖါ,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015310,UNODC_Sep 2009,
MMR015304,Kawng Min Hsang,ကောင်မင်ဆန်း,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015304,UNODC_Sep 2009,
MMR015023,Konkyan,ကုန်းကြမ်း,MMR015D005,Laukkaing,လောက်ကိုင်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015023,"GAD, Mar 2015",
MMR015201,Konkyan (Kokang SAZ),ကုန်းကြမ်း (အထူးဒေသ ၁),MMR015D221,Laukkaing (Kokang SAZ),လောက်ကိုင်-ကိုးကန့်အထူးဒေသ (၁),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015201,UNODC_Sep 2009,
MMR015020,Kunlong,ကွမ်းလုံ,MMR015D001,Lashio,လားရှိုးခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015020,"GAD, Mar 2015",
MMR015011,Kutkai,ကွတ်ခိုင်,MMR015D002,Muse,မူဆယ်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015011,"GAD, Mar 2015",
MMR015012,Kyaukme,ကျောက်မဲ,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015012,"GAD, Mar 2015",
MMR015001,Lashio,လားရှိုး,MMR015D001,Lashio,လားရှိုးခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015001,"GAD, Mar 2015",
MMR015022,Laukkaing,လောက်ကိုင်,MMR015D005,Laukkaing,လောက်ကိုင်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015022,"GAD, Mar 2015",
MMR015202,Laukkaing (Kokang SAZ),လောက်ကိုင် (အထူးဒေသ ၁),MMR015D221,Laukkaing (Kokang SAZ),လောက်ကိုင်-ကိုးကန့်အထူးဒေသ (၁),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015202,UNODC_Sep 2009,
MMR015309,Lin Haw,လင်ဟော်,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015309,UNODC_Sep 2009,
MMR015307,Long Htan,လုံထန်,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015307,UNODC_Sep 2009,
MMR015018,Mabein,မဘိမ်း,MMR015D008,Mongmit,မိုးမိတ်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015018,"GAD, Mar 2015",
MMR015313,Man Man Hseng,မန်မန်ဆိုင်,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),ဝိန်းကောင်-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015313,UNODC_Sep 2009,
MMR015303,Man Tun,မန်တွန်း,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015303,UNODC_Sep 2009,
MMR015019,Manton,မန်တုန်,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015019,"GAD, Mar 2015",
MMR015024,Matman,မက်မန်း,MMR015D007,Matman,မက်မန်းခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR016004,"GAD, Mar 2015",
MMR015008,Mongmao,မိုင်းမော,MMR015D006,Hopang,ဟိုပန်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015008,"GAD, Mar 2015",
MMR015017,Mongmit,မိုးမိတ်,MMR015D008,Mongmit,မိုးမိတ်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015017,"GAD, Mar 2015",
MMR015003,Mongyai,မိုင်းရယ်,MMR015D001,Lashio,လားရှိုးခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015003,"GAD, Mar 2015",
MMR015009,Muse,မူဆယ်,MMR015D002,Muse,မူဆယ်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015009,"GAD, Mar 2015",
MMR015315,Nam Hkam Wu,နမ်ခမ်းဝူး,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),ဝိန်းကောင်-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015315,UNODC_Sep 2009,
MMR015301,Nam Tit,နမ့် တစ်,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015301,UNODC_Sep 2009,
MMR015010,Namhkan,နမ့်ခမ်း,MMR015D002,Muse,မူဆယ်ခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015010,"GAD, Mar 2015",
MMR015016,Namhsan,နမ့်ဆန်,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015016,"GAD, Mar 2015",
MMR015015,Namtu,နမ္မတူ,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015015,"GAD, Mar 2015",
MMR015316,Nar Kawng,နားကောင်,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),ဝိန်းကောင်-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015316,UNODC_Sep 2009,
MMR015302,Nar Wee (Na Wi),နာဝီး,MMR015D331,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015302,UNODC_Sep 2009,
MMR015006,Narphan,နားဖန့်,MMR015D007,Matman,မက်မန်းခရိုင်,MMR015,Shan (North),ရှမ်းပြည်နယ် (မြောက်),ASIMMR015006,"GAD, Mar 2015",
